201	823	3	884140975
322	50	5	887314418
107	305	4	891264327
64	2	3	889737609
28	50	4	881957090
246	202	3	884922272
168	1197	5	884287927
34	259	2	888602808
286	465	5	889651698
184	521	4	889908873
106	286	4	881449486
198	1117	3	884205252
291	53	5	874834827
25	477	4	885853155
1	159	3	875073180
181	1393	1	878961709
169	301	4	891268622
60	172	4	883326339
178	427	5	882826162
149	327	2	883512689
280	96	4	891700664
205	984	1	888284710
92	431	4	875660164
244	369	4	880605294
308	291	3	887739472
235	684	4	889655162
218	194	3	877488546
307	313	5	888095725
18	69	3	880129527
23	215	2	874787116
184	132	5	889913687
